ชื่อปั๊มน้ำมัน,แบรนด์,Latitude,Longitude,Google Maps Link,ห่างจากปั๊มก่อนหน้า (KM),น้องกิ๊ฟท์น้องมิ้นท์,เสี่ยโอ๊ค เห้ยโห,,,ฟังชั่นที่เเอบคิดได้สำหรับ ตัว App,Future improvement 
PTT Station,PTT (ปตท),19.54009,99.74157,https://maps.google.com/?cid=1274089390302757570&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.62,✅,,,,,
PT Gas Station,PT (พีที),19.53643,99.7421,https://maps.google.com/?cid=17901691681063647308&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.61,✅,,,,,
ปั๊ม บางจาก บมจ.ซัสโก้ สาขา พาน,Bangchak (บางจาก),19.52635,99.74395,https://maps.google.com/?cid=14747378907489691620&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.21,✅,,,,,
ปั้มน้ำมันคาลเท็กซ์ อ.พาน,Caltex (คาลเท็กซ์),19.47832,99.7514,https://maps.google.com/?cid=13331895786399405856&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.9,✅,,,,,
ปั๊ม บางจาก บมจ.ซัสโก้ สาขา ศรีถ้อย,Bangchak (บางจาก),19.35996,99.79694,https://maps.google.com/?cid=4544241283171380278&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,14.4,✅,,,,,
PT (Petroleum Thai Corporation Company Limited),PT (พีที),19.34999,99.80383,https://maps.google.com/?cid=15371451958785992385&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.01,✅,,,,,
Caltex Purethai Mae Chai,Caltex (คาลเท็กซ์),19.33092,99.82624,https://maps.google.com/?cid=16999277646094376224&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.27,✅,,,,,
สถานี น้ำมัน PT สาขา พะเยา2,PT (พีที),19.21781,99.86825,https://maps.google.com/?cid=1173437927762671038&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,13.85,✅,,,,,
PTT Charging StationPTT Station,PTT (ปตท),19.20349,99.87139,"https://www.google.com/maps/place/PTT+Charging+Station/@19.2030801,99.8715092,20.75z/data=!4m14!1m7!3m6!1s0x30d9d363ade9ad4d:0xb621c8cf54c9a95f!2sPTT+Station!8m2!3d19.2031992!4d99.8714936!16s%2Fg%2F11bc8wn127!3m5!1s0x30d9d363ac109293:0xb97436e8b0b9d575!8m2!3d19.2031972!4d99.8715055!16s%2Fg%2F11vhcxfg15?entry=ttu&g_ep=EgoyMDI2MDcyMC4wIKXMDSoASAFQAw%3D%3D",1.68,✅,,,,,
"PT Gas Station Phayao (Punthai , Max Mart)",PT (พีที),19.196,99.87598,https://maps.google.com/?cid=16590504049204293100&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.67,✅,,,,,
Shell,Shell (เชลล์),19.15643,99.91437,https://maps.google.com/?cid=16781796556481753140&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,6.17,✅,,,,,
PT Oil+LPG,PT (พีที),19.15132,99.9133,https://maps.google.com/?cid=14679541759910032530&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.61,✅,,,,,
PTT Station (Petrol+NGV+EV),PTT (ปตท),19.14564,99.91224,https://maps.google.com/?cid=3509684265042731669&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.53,✅,,,,,
PT Gas Station,PT (พีที),19.09833,99.912,https://maps.google.com/?cid=4003417060890145134&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.7,✅ ,จริง ✅,,,,
ปั๊ม PT พะเยา7,PT (พีที),19.05903,99.93144,https://maps.google.com/?cid=175428797910878570&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.62,✅,,,,,
PT Gas Station,PT (พีที),18.82093,99.95041,https://maps.google.com/?cid=15348706086205173452&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,31.1,✅ ห่างเยอะ,เออมันไม่มีปั๊มจริงๆ หน้ามอพะเยา อยู่กันยังไงว✅,,,,
PTT Station (Petrol+EV) Ngao,PTT (ปตท),18.78519,99.96716,https://maps.google.com/?cid=15601189515048708784&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.59,✅,,,,,
Shell,Shell (เชลล์),18.75079,99.97566,https://maps.google.com/?cid=7678970748371373806&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.21,✅,,,,,
PTT สาขางาว Ngao,PTT (ปตท),18.73885,99.97369,https://maps.google.com/?cid=6757103553932946280&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.07,✅,,,,,
