ชื่อปั๊มน้ำมัน,แบรนด์,Latitude,Longitude,Google Maps Link,ห่างจากปั๊มก่อนหน้า (KM),น้องกิ๊ฟท์น้องมิ้นท์,เสี่ยโอ๊ค เห้ยโห,,,ฟังชั่นที่เเอบคิดได้สำหรับ ตัว App,Future improvement 
Shell,Shell (เชลล์),16.8592,100.352,https://maps.google.com/?cid=10205519527662845880&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.63,✅ ฝั้่งยูเทิร์น,,,,,
PTT Station,PTT (ปตท),16.85701,100.3505,https://maps.google.com/?cid=586555317893581215&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,7.4,ระยะทาง จากเซลล์,U-turn อ้วน✅,,,,
PTT Station Don thong 1,PTT (ปตท),16.85376,100.3494,https://maps.google.com/?cid=15416855830802502601&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.57,✅,,,,,
Bangchak,Bangchak (บางจาก),16.85149,100.3471,https://maps.google.com/?cid=8235665383234776919&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.8,คนละเส้นกับทางไป,อันนี้คนละเส้นยังไงนะ ,,,,
PTT Station,PTT (ปตท),16.83057,100.3625,https://maps.google.com/?cid=174365610411177391&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.07,✅,,,,,
Shell โกลด์ ปิโตรเลียม สเตชั่น,Shell (เชลล์),16.83132,100.4083,https://maps.google.com/?cid=16249889991185775913&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.16,✅,,,,,
PTT.Noppornoil Wangthong,PTT (ปตท),16.82767,100.4147,https://maps.google.com/?cid=3258465241641052980&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.56,✅,,,,,
PT (Song Khwae Service Limited Partnership),PT (พีที),16.825,100.4277,https://maps.google.com/?cid=11056889019753294551&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.3,✅,,,,,
Bangchak (Gasoline and LPG),Bangchak (บางจาก),16.61165,100.4496,https://maps.google.com/?cid=13429943289878141888&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,24.98,✅,,,,,
ปั๊ม PT สาขาสากเหล็ก3,PT (พีที),16.5043,100.4708,https://maps.google.com/?cid=13414915313366086232&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,12.23,ระยะทาง จากบางจาก,ระหว่างทางไม่มีปั๊ม ✅,,,,
PTT Station,PTT (ปตท),16.48625,100.482,https://maps.google.com/?cid=9691280449674990439&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.03,✅,,,,,
ปั๊ม บางจาก บมจ.ซัสโก้ สาขา วังทรายพูน,Bangchak (บางจาก),16.417,100.5203,https://maps.google.com/?cid=395955099478401490&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,8.66,✅,,,,,
ปั๊มเอสโซ่,Bangchak (บางจาก),16.40975,100.5252,https://maps.google.com/?cid=13522121561882535528&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.02,✅,,,,,
Shell,Shell (เชลล์),16.32733,100.5706,https://maps.google.com/?cid=16395742571861913376&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,10.71,✅ ฝั้่งยูเทิร์น,,,,,
Esso Gas Station,Bangchak (บางจาก),16.23136,100.6242,https://maps.google.com/?cid=10620345885341518483&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,11.78,✅,,,,,
Shell,Shell (เชลล์),16.16674,100.6271,https://maps.google.com/?cid=10358032496593334553&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,7.32,✅,,,,,
ปั๊มน้ำมัน PT&LPG,PT (พีที),16.14705,100.6208,https://maps.google.com/?cid=12668574169691150676&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.15,✅,,,,,
ปั้ม พีที สาขาเขาทราย-ทับคล้อ,PT (พีที),16.14255,100.6196,https://maps.google.com/?cid=14039507822105516349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.3,ระยะทาง+ยูเทิร์น,U-turn ✅,,,,
PTT Station ปตท.เขาทราย พิจิตร,PTT (ปตท),16.13907,100.6213,https://maps.google.com/?cid=2813341863793818644&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.4,ระยะทาง,U-turn อ้วน✅,,,,
PTT Station (Petrol+EV) (Wang Ngio Charoenkij Petroleum Limited Partnership),PTT (ปตท),16.03236,100.6302,https://maps.google.com/?cid=5994661319061738738&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,11.94,✅ ฝั้่งยูเทิร์น,,,,,
ปั๊ม บางจาก บมจ.ซัสโก้ สาขา หนองกลับ,Bangchak (บางจาก),15.97393,100.6263,https://maps.google.com/?cid=1145427417629172799&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,6.29,✅,,,,,
Bangchak - Vichit Thanaphan Borikan (Branch3),Bangchak (บางจาก),15.87667,100.6068,https://maps.google.com/?cid=10734982012682687295&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,11.31,✅,,,,,
ปั๊มน้ำมัน PT,PT (พีที),15.77852,100.6068,https://maps.google.com/?cid=11646683621196076698&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,11.19,✅,,,,,
ปั๊มน้ำมันบางจาก - ไพศาลี,Bangchak (บางจาก),15.64894,100.5821,https://maps.google.com/?cid=8673235447708197865&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,14.45,✅,,,,,
PT Gas Station,PT (พีที),15.61906,100.5762,https://maps.google.com/?cid=17898368143183500111&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.64,✅,,,,,
PTT Station (Petrol+EV),PTT (ปตท),15.5917,100.5647,https://maps.google.com/?cid=6981936051612725626&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.19,✅,,,,,
PT Gas Station,PT (พีที),15.36599,100.5062,https://maps.google.com/?cid=5281469561723255826&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,25.62,✅,,,,,
PTT Station Chansen oil ปตท. จันเสนออยล์,PTT (ปตท),15.10416,100.3888,https://maps.google.com/?cid=7637135826609799464&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,33.25,✅,,,,,
ปั๊มน้ำมันพีที สาขา อินทร์บุรี3,PT (พีที),15.04299,100.334,https://maps.google.com/?cid=7401559978751396619&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,9.73,✅,,,,,
Bangchak Station (Petrol+EV) Patthanan 2018,Bangchak (บางจาก),15.03829,100.3341,https://maps.google.com/?cid=2805745826428681199&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.8,✅,,,,,
Shell,Shell (เชลล์),15.0329,100.336,https://maps.google.com/?cid=15429017540447646633&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.4,งงเส้นทาง,ต้องขับวน เเต่ได้อยู่ ✅,,,,
PTT Station,PTT (ปตท),15.02685,100.3368,https://maps.google.com/?cid=11696136989437538606&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.2,งงเส้นทาง,มันอยู่อีกฝั่งหมดเลยเนาะ เเต่ก็โอเคเเหละ อยู่ในรัศมี วนเอา✅,,,,
PTT Station (With Jiffy),PTT (ปตท),15.02412,100.3389,https://maps.google.com/?cid=12900105214123650469&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.5,✅,,,,,
บางจาก ท่างาม อินทร์บุรี,Bangchak (บางจาก),15.0216,100.3393,https://maps.google.com/?cid=4378997081528839170&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.51,✅,,,,,
Shell,Shell (เชลล์),15.01406,100.3413,https://maps.google.com/?cid=1165295542312500152&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.7,✅,,,,,
PT gas station ( In Buri 2 ),PT (พีที),15.01126,100.3427,https://maps.google.com/?cid=11227891432756237821&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.51,✅,,,,,
สถานี น้ำมัน PT สาขา อินทร์บุรี1,PT (พีที),15.00592,100.3438,https://maps.google.com/?cid=15519831845870200055&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.52,✅,,,,,
Bangchak (Bangchak Green Net Company Limited),Bangchak (บางจาก),14.98113,100.3571,https://maps.google.com/?cid=4403474009046155182&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.6,✅,,,,,
PTT Station (Petrol+EV) (With Jiffy),PTT (ปตท),14.91608,100.402,https://maps.google.com/?cid=16392449268869469759&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,8.49,✅,,,,,
PTT Station,PTT (ปตท),14.89406,100.4246,https://maps.google.com/?cid=8890082893314726597&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.91,✅,,,,,
PTT Station (With Jiffy),PTT (ปตท),14.88609,100.428,https://maps.google.com/?cid=17103431117316282949&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.7,มียูเทิร์นไกล,U-turn อ้วน✅,,,,
Caltex Siam Singburi,Caltex (คาลเท็กซ์),14.88301,100.4319,https://maps.google.com/?cid=9491996724972006511&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.55,✅ ,,,,,
PTT Station,PTT (ปตท),14.8788,100.4348,https://maps.google.com/?cid=2531858317302188449&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.55,✅,,,,,
PTT EV Station สถานี้ชาร์จรถไฟฟ้า,PTT (ปตท),14.87874,100.4352,https://maps.google.com/?cid=6878791177020478957&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0,สถานที่นี้อาจปิดแล้ว,กดเข้าไปบางทีก็ขึ้น บางทีก็ไม่ขึ้น ,,,,
Bangchak Petrol Station,Bangchak (บางจาก),14.84985,100.4439,https://maps.google.com/?cid=11250785520983164427&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.6,งงเส้นทาง,อันนี้ มี U-turn เล็กๆ ได้อยู่ หรือว่ายังไงนะ,,,,
PTT Station,PTT (ปตท),14.78926,100.4587,https://maps.google.com/?cid=14326976198506742895&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,6.7,✅,,,,,
ปั้ม PT สาขาพรหมบุรี,PT (พีที),14.74381,100.4532,https://maps.google.com/?cid=13286467120397235399&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.29,✅,,,,,
Shell Asia Station,Shell (เชลล์),14.74121,100.4534,https://maps.google.com/?cid=17301189840590487658&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.9, งงเส้นทางเติมมัน,มันอยู่คนละฝั่งกับขามาเน๊อะ ก็ ขับวนเอา หรือคิดว่างาย,,,,
PTT Station (Petrol+LPG+EV),PTT (ปตท),14.73217,100.4554,https://maps.google.com/?cid=15453005973123862272&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.08,✅,,,,,
Bangchak Station (Petrol+EV) Ilada Petroleum,Bangchak (บางจาก),14.72516,100.4543,https://maps.google.com/?cid=13309065751391681308&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.3,มียูเทิร์นไกล,U-turn อ้วน✅,,,,
ปั๊มน้ำมัน พีที ไชโย,PT (พีที),14.6868,100.4639,https://maps.google.com/?cid=10815032875539773705&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.33,✅,,,,,
PT Gas Station,PT (พีที),14.6814,100.4655,https://maps.google.com/?cid=16284789153146647931&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.2,มียูเทิร์นไกล,U-turn อ้วน✅,,,,
PTT Station (Petrol+EV) Chai Yo,PTT (ปตท),14.66362,100.4713,https://maps.google.com/?cid=8392146599372988499&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.18, งงเส้นทางเติมมัน,2 อันนี้งงอะไรนะ,,,,
Bangchak (Petrol+EV) Chaiyo,Bangchak (บางจาก),14.6655,100.4726,https://maps.google.com/?cid=7500075144312307240&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0, งงเส้นทางเติมมัน,///////,,,,
Caltex Prasert Chaiyo,Caltex (คาลเท็กซ์),14.66201,100.4731,https://maps.google.com/?cid=16049004622946130026&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.59,✅,,,,,
PTT Station (NGV+Petrol+EV) Chaiyo (Inbound Bangkok) (Truck Park),PTT (ปตท),14.65651,100.4742,https://maps.google.com/?cid=6469850808433877229&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.58,✅,,,,,
PTT Station (LPG+EV),PTT (ปตท),14.57445,100.4893,https://maps.google.com/?cid=6118538830717383498&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,9.78,✅,,,,,
Shell,Shell (เชลล์),14.55816,100.4976,https://maps.google.com/?cid=254990715644869762&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.02,✅,,,,,
PTT Station (With Jiffy),PTT (ปตท),14.55483,100.4988,https://maps.google.com/?cid=3294833536275133592&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0,✅,,,,,
Caltex หลวงปู่ทวด กม.44,Caltex (คาลเท็กซ์),14.53422,100.5033,https://maps.google.com/?cid=4663071824128339349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.64,✅,,,,,
บางจาก พงษ์สุภาพร ออยล์,Bangchak (บางจาก),14.50712,100.5179,https://maps.google.com/?cid=2091143178332465127&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.17,✅,,,,,
PTT Station,PTT (ปตท),14.50203,100.5202,https://maps.google.com/?cid=3265198286098244250&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.53,✅,,,,,
PT สาขาโชคดี ออยล์,PT (พีที),14.50417,100.5213,https://maps.google.com/?cid=15817508393028576232&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0,✅,,,,,
"PT Gas Station Bangpahan (Punthai , Max Mart)",PT (พีที),14.48485,100.527,https://maps.google.com/?cid=4768530345018063564&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,11.7,อยู่ฝั่งตรงข้าม,U-turn อ้วน✅,,,,
PTT Station,PTT (ปตท),14.47522,100.5318,https://maps.google.com/?cid=7623577799370832263&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.05,✅,,,,,
PTT Station,PTT (ปตท),14.45775,100.5381,https://maps.google.com/?cid=2091143176839146950&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.13,ยูเทิร์น,U-turn ✅,,,,
PTT Station,PTT (ปตท),14.42443,100.5613,https://maps.google.com/?cid=13111483373527312017&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.71,ยูเทิร์น,U-turn ✅,,,,
PT,PT (พีที),14.41787,100.5674,https://maps.google.com/?cid=16132546297640685341&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.09,ยูเทริน+ระยะทาง,U-turn ✅,,,,
PT Gas Station Nakhonloung4 (Max Mart),PT (พีที),14.40738,100.5828,https://maps.google.com/?cid=6938013691355356076&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.18,✅,,,,,
PT Gas Station Nakhonluang2 (Punthai),PT (พีที),14.40527,100.5824,https://maps.google.com/?cid=8104639085486572582&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.2,ยูเทริน+ระยะทาง,U-turn ✅,,,,
PTT,PTT (ปตท),14.39503,100.5938,https://maps.google.com/?cid=80219668706024841&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.63,✅,,,,,
PTT Station (LPG+EV),PTT (ปตท),14.39121,100.5976,https://maps.google.com/?cid=8106917783638113482&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.55,✅,,,,,
PTT Station,PTT (ปตท),14.37999,100.6075,https://maps.google.com/?cid=10193184517412522004&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.3,ยูเทิร์น+ระยะทาง,U-turn อ้วน✅,,,,
ปั๊มบางจาก (บจก.พร้อมทรัพย์),Bangchak (บางจาก),14.35437,100.6124,https://maps.google.com/?cid=12777542639038978416&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.2,✅,,,,,
PTT NGV ปตท.เอ็นจีวี อยุธยา ดีเวลล๊อปเม้นท์,PTT (ปตท),14.33566,100.6186,https://maps.google.com/?cid=9575476059024513059&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.1,ยูเทิร์น+ระยะทาง,U-turn อ้วน✅,,,,
Bangchak Station (Petrol+EV) Asian Highway 2,Bangchak (บางจาก),14.32422,100.6141,https://maps.google.com/?cid=8804586544022985587&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0,✅,,,,,
PTT Gas Station,PTT (ปตท),14.32248,100.6143,https://maps.google.com/?cid=11284508652725984132&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.4,ถนนหลายเส้นงง,งงอะไรนะ55,,,,
ปตท.ทางเข้าอยุธยา,PTT (ปตท),14.3131,100.6124,https://maps.google.com/?cid=8987780833758180408&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.6,✅,โซนนี้ปั๊มส่วนใหญ่มันอยู่อีกฝั่งหมดเนาะ,,,,
PTT Station (Petrol+EV),PTT (ปตท),14.30416,100.6143,https://maps.google.com/?cid=13571706379007212698&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.03,ยูเทิร์น,เดียวคุยกันว่าเอาไง ,,,,
Shell,Shell (เชลล์),14.29672,100.6122,https://maps.google.com/?cid=14375331336399741616&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.03,ยูเทิร์น+ระยะทาง,/,,,,
PTT Bang Pa IN,PTT (ปตท),14.2665,100.6122,https://maps.google.com/?cid=10302303993550873998&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0,ยูเทิร์น+ระยะทาง,/,,,,
ปั๊มบางจาก (น้ำมัน+EV) สายเอเซีย,Bangchak (บางจาก),14.26547,100.6125,https://maps.google.com/?cid=5242457343042499154&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.2,ยูเทิร์น+ระยะทาง,/,,,,
ปตท ก่อนแยกเข้าโรจนะ,PTT (ปตท),14.26642,100.6131,https://maps.google.com/?cid=14123904150836046568&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.2,ฝั่งตรงข้าม,/,,,,
ปั๊ม Sinopec Susco สาขา อยุธยา ก.ม. 63,Susco (ซัสโก้),14.26822,100.6122,https://maps.google.com/?cid=9393359971148176591&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.3,ฝั่งตรงข้าม,/,,,,
Shell,Shell (เชลล์),14.21848,100.6109,https://maps.google.com/?cid=13822760516372970719&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.9,ยูเทิร์น+,,,,,
PTT Station (Petrol+EV) Bang Pa-in,PTT (ปตท),14.22848,100.6103,https://maps.google.com/?cid=16505640215371376424&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.22,ฝั่งตรงข้าม,/,,,,
Bangchak Siam Suksawat - Bang Pa-In Station,Bangchak (บางจาก),14.21201,100.6099,https://maps.google.com/?cid=11859373518031656428&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.6,✅,,,,,
PTT Station (With Jiffy),PTT (ปตท),14.2029,100.6079,https://maps.google.com/?cid=4628959011320103193&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.53,✅ยูเทิร์น+,,,,,
CALTEX,Caltex (คาลเท็กซ์),14.18994,100.6102,https://maps.google.com/?cid=29867812625853841&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.63,ยูเทิร์นไกล+ระยะทาง,/,,,,
ปั๊มบางจาก สาขาบางปะอิน 1 (ขาขึ้นภาคเหนือ),Bangchak (บางจาก),14.18474,100.6127,https://maps.google.com/?cid=15228491273830382152&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.4,งงเส้นทางมาก,/,,,,
PTT Station (With Jiffy),PTT (ปตท),14.16834,100.6189,https://maps.google.com/?cid=16636626509160575175&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.3,ฝั่ั่่งตรงข้าม,/,,,,
PTT Station,PTT (ปตท),14.15318,100.5608,https://maps.google.com/?cid=7077905371369050165&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,6.34,ฝั่ั่่งตรงข้าม,/,,,,
PTT Station พรอรุณ เชียงรากน้อย กาญจนาภิเษก (ขาเข้า),PTT (ปตท),14.15222,100.5613,https://maps.google.com/?cid=15872160367690293902&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0,✅งง,,,,,
ปั๊มน้ำมันคาลเท็กซ์ สามโคก,Caltex (คาลเท็กซ์),14.12001,100.5703,https://maps.google.com/?cid=17026374684681735183&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,8.6,✅งง,,,,,
